age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
30,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,487,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
39,services,single,high.school,no,no,no,telephone,may,fri,346,4,0,nonexistent,1.1,93.994,-36.4,4.855,5191
25,services,married,high.school,no,yes,no,telephone,jun,wed,227,1,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
47,admin.,married,university.degree,no,yes,no,cellular,nov,mon,58,1,0,nonexistent,-0.1,93.2,-42,4.191,5195.8
32,services,single,university.degree,no,no,no,cellular,sep,thu,128,3,2,failure,-1.1,94.199,-37.5,0.884,4963.6
32,admin.,single,university.degree,no,yes,no,cellular,sep,mon,290,4,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6
31,services,divorced,professional.course,no,no,no,cellular,nov,tue,68,1,1,failure,-0.1,93.2,-42,4.153,5195.8
36,self-employed,single,basic.4y,no,no,no,cellular,jul,thu,148,1,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
36,admin.,married,high.school,no,no,no,telephone,may,wed,97,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191
47,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,211,2,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
29,admin.,single,high.school,no,no,no,cellular,may,fri,553,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
27,services,single,university.degree,no,no,no,cellular,jul,wed,698,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
44,admin.,divorced,university.degree,no,no,no,cellular,jul,wed,191,6,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
46,admin.,divorced,university.degree,no,yes,no,telephone,jul,mon,59,4,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,849,1,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
39,technician,divorced,high.school,no,no,no,cellular,mar,mon,222,1,2,success,-1.8,93.369,-34.8,0.639,5008.7
29,technician,single,university.degree,no,yes,yes,cellular,aug,wed,626,3,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
40,management,married,high.school,no,no,yes,cellular,aug,wed,119,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
38,technician,married,professional.course,no,yes,no,cellular,aug,mon,479,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
36,technician,divorced,professional.course,no,no,no,telephone,may,wed,446,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191
34,admin.,married,university.degree,no,no,no,cellular,aug,tue,109,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
38,technician,married,university.degree,no,yes,yes,cellular,mar,tue,113,1,1,failure,-1.8,92.843,-50,1.687,5099.1
51,technician,single,university.degree,no,no,no,cellular,jun,fri,151,2,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2
48,technician,married,university.degree,no,no,no,cellular,aug,thu,42,7,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
28,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,525,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
36,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,57,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191
46,management,divorced,high.school,no,no,no,cellular,nov,wed,499,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
76,retired,married,university.degree,no,no,no,cellular,aug,thu,126,1,1,failure,-1.7,94.027,-38.3,0.899,4991.6
45,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,tue,211,3,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
32,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,340,1,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
32,admin.,married,university.degree,no,no,no,telephone,nov,thu,132,1,0,nonexistent,-0.1,93.2,-42,4.592,5195.8
29,admin.,single,basic.9y,no,no,no,cellular,may,mon,79,2,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
44,services,married,professional.course,no,no,no,cellular,aug,mon,341,2,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
32,services,married,high.school,no,no,yes,cellular,jul,fri,157,3,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
56,retired,married,university.degree,no,yes,no,cellular,jun,wed,252,1,2,failure,-2.9,92.963,-40.8,1.26,5076.2
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,263,1,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
39,management,married,high.school,no,no,no,cellular,aug,fri,215,3,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,89,2,1,success,-3.4,92.379,-29.8,0.77,5017.5
33,admin.,single,university.degree,no,yes,no,cellular,may,thu,143,1,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
58,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,thu,40,2,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1
29,admin.,single,university.degree,no,yes,no,telephone,jun,fri,10,27,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,113,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
27,admin.,married,university.degree,no,no,no,telephone,may,wed,191,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191
60,admin.,divorced,professional.course,no,yes,no,cellular,sep,wed,481,1,1,failure,-1.1,94.199,-37.5,0.886,4963.6
55,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,233,1,2,failure,-3.4,92.431,-26.9,0.739,5017.5
37,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,204,2,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
46,services,married,high.school,no,yes,no,cellular,apr,mon,180,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
42,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,16,2,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
35,admin.,single,university.degree,no,yes,no,cellular,jul,mon,447,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
29,services,divorced,high.school,no,no,yes,telephone,jun,mon,361,3,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
32,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,1091,2,1,success,-0.1,93.2,-42,4.191,5195.8
37,self-employed,married,university.degree,no,no,no,cellular,may,fri,395,1,1,failure,-1.8,92.893,-46.2,1.313,5099.1
28,admin.,single,high.school,no,yes,no,cellular,may,tue,59,3,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1
34,management,married,university.degree,no,yes,no,cellular,may,wed,77,4,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
31,technician,single,high.school,no,yes,yes,cellular,aug,tue,768,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
31,admin.,married,university.degree,no,yes,no,cellular,aug,thu,96,5,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
31,admin.,single,university.degree,no,yes,no,telephone,jun,wed,357,2,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38,self-employed,single,university.degree,no,no,no,telephone,may,thu,459,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191
33,unemployed,married,basic.9y,no,no,no,telephone,jun,fri,11,6,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
32,technician,single,university.degree,no,no,no,cellular,aug,tue,264,12,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
41,admin.,divorced,high.school,no,yes,no,telephone,jun,tue,204,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
57,retired,married,university.degree,no,yes,no,cellular,apr,thu,374,1,1,success,-1.8,93.075,-47.1,1.365,5099.1
38,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,thu,252,1,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
46,admin.,married,university.degree,no,yes,no,telephone,may,tue,158,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191
37,unemployed,single,university.degree,no,yes,yes,cellular,nov,tue,95,1,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
45,admin.,single,university.degree,no,no,no,cellular,aug,thu,505,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
36,blue-collar,married,basic.6y,no,yes,no,telephone,jul,wed,16,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
40,unemployed,single,high.school,no,yes,no,cellular,jul,mon,300,5,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
38,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,180,2,1,failure,-0.1,93.2,-42,4.153,5195.8
25,self-employed,married,university.degree,no,yes,no,telephone,may,fri,274,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
30,blue-collar,single,basic.6y,no,yes,no,telephone,jul,tue,135,5,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
43,management,married,professional.course,no,no,no,cellular,nov,tue,257,2,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
31,technician,married,professional.course,no,yes,no,telephone,may,wed,157,6,0,nonexistent,1.1,93.994,-36.4,4.856,5191
53,management,married,university.degree,no,no,no,cellular,jul,tue,477,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
37,services,married,high.school,no,yes,yes,cellular,may,thu,436,3,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1
33,services,single,basic.9y,no,yes,no,cellular,apr,thu,483,2,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1
44,entrepreneur,married,professional.course,no,no,no,telephone,may,mon,259,1,0,nonexistent,1.1,93.994,-36.4,4.858,5191
38,blue-collar,married,basic.6y,no,yes,no,telephone,jul,thu,389,2,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1
34,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,7,1,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6
47,management,married,university.degree,no,yes,no,cellular,jul,wed,123,1,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2
59,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,92,1,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2
31,blue-collar,married,basic.6y,no,yes,no,telephone,jun,wed,406,2,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
56,management,married,university.degree,no,yes,yes,cellular,nov,wed,104,1,1,failure,-0.1,93.2,-42,4.12,5195.8
39,admin.,married,university.degree,no,no,no,telephone,jun,mon,135,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
41,entrepreneur,married,university.degree,no,yes,no,cellular,nov,tue,854,1,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
41,management,divorced,basic.6y,no,yes,no,cellular,nov,thu,147,1,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
35,blue-collar,married,high.school,no,no,yes,cellular,jul,mon,149,4,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
58,retired,married,basic.9y,no,no,yes,cellular,may,wed,144,1,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
25,self-employed,married,professional.course,no,yes,no,telephone,jun,wed,394,2,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
35,blue-collar,divorced,basic.9y,no,yes,no,cellular,may,tue,523,1,1,failure,-1.8,92.893,-46.2,1.344,5099.1
28,services,single,high.school,no,no,no,cellular,jul,wed,73,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
55,blue-collar,married,professional.course,no,yes,yes,cellular,may,fri,197,3,1,failure,-1.8,92.893,-46.2,1.25,5099.1
32,blue-collar,married,basic.9y,no,yes,no,cellular,apr,thu,114,1,1,failure,-1.8,93.075,-47.1,1.41,5099.1
75,retired,married,basic.4y,no,no,no,cellular,apr,tue,109,1,1,failure,-1.8,93.075,-47.1,1.405,5099.1
29,management,married,university.degree,no,no,yes,cellular,aug,wed,181,2,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
45,management,married,university.degree,no,yes,no,cellular,may,thu,239,1,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
38,admin.,divorced,university.degree,no,no,no,cellular,apr,mon,360,1,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1
24,services,single,professional.course,no,yes,no,telephone,may,mon,314,1,0,nonexistent,1.1,93.994,-36.4,4.858,5191
41,technician,married,professional.course,no,yes,no,cellular,aug,mon,984,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
58,retired,divorced,high.school,no,yes,no,cellular,jun,tue,663,1,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2
34,admin.,married,university.degree,no,no,yes,telephone,may,wed,157,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191
34,admin.,married,university.degree,no,no,no,cellular,nov,mon,141,2,0,nonexistent,-1.1,94.767,-50.8,1.05,4963.6
37,technician,divorced,professional.course,no,no,no,telephone,may,wed,374,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191
53,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,706,1,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
54,technician,divorced,professional.course,no,yes,yes,cellular,jul,tue,797,14,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
32,technician,divorced,professional.course,no,yes,no,cellular,nov,tue,250,1,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
42,admin.,married,high.school,no,yes,no,cellular,jul,fri,311,6,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
28,technician,single,professional.course,no,yes,no,cellular,aug,thu,63,2,1,success,-2.9,92.201,-31.4,0.851,5076.2
33,services,single,high.school,no,yes,no,telephone,may,fri,111,1,0,nonexistent,1.1,93.994,-36.4,4.864,5191
41,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,148,2,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
31,services,married,high.school,no,no,yes,cellular,nov,thu,49,1,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
40,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,257,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,279,3,2,success,-1.1,94.199,-37.5,0.877,4963.6
28,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,113,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
31,unemployed,single,university.degree,no,yes,no,cellular,jul,tue,309,1,3,success,-1.7,94.215,-40.3,0.835,4991.6
32,technician,single,university.degree,no,yes,no,cellular,aug,wed,168,1,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
54,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,153,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
31,blue-collar,married,basic.9y,no,no,no,cellular,jul,wed,152,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
31,admin.,single,high.school,no,yes,yes,cellular,may,wed,149,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1
32,unemployed,married,high.school,no,yes,no,cellular,nov,thu,640,1,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
46,admin.,single,high.school,no,yes,no,cellular,nov,mon,199,2,2,failure,-1.1,94.767,-50.8,1.048,4963.6
47,admin.,single,high.school,no,no,no,cellular,may,mon,1114,2,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
32,admin.,single,high.school,no,no,no,cellular,nov,mon,74,2,2,failure,-1.1,94.767,-50.8,1.048,4963.6
45,admin.,married,high.school,no,yes,no,cellular,oct,fri,738,3,1,success,-1.1,94.601,-49.5,1.029,4963.6
32,admin.,married,university.degree,no,yes,no,cellular,may,fri,374,2,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
49,services,married,high.school,no,yes,no,telephone,may,fri,344,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191
46,admin.,married,high.school,no,yes,yes,telephone,jun,wed,148,10,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
46,blue-collar,married,professional.course,no,no,no,cellular,nov,fri,383,1,0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6
38,admin.,married,university.degree,no,yes,no,cellular,aug,tue,35,6,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
44,technician,married,professional.course,no,no,no,telephone,may,fri,124,3,0,nonexistent,1.1,93.994,-36.4,4.864,5191
47,technician,married,university.degree,no,yes,no,cellular,aug,wed,345,7,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
40,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,951,2,0,nonexistent,1.1,93.994,-36.4,4.858,5191
57,retired,single,professional.course,no,yes,no,telephone,may,mon,188,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191
52,blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,809,1,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
34,management,married,university.degree,no,yes,yes,telephone,jun,wed,192,1,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2
42,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,154,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191
56,retired,married,high.school,no,no,no,cellular,may,mon,317,1,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1
41,management,married,university.degree,no,yes,no,cellular,may,thu,93,1,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
44,admin.,married,high.school,no,yes,no,cellular,aug,fri,111,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
50,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,293,3,1,success,-1.8,92.893,-46.2,1.354,5099.1
54,self-employed,married,high.school,no,no,no,cellular,aug,tue,119,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,393,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
30,blue-collar,single,basic.9y,no,no,no,cellular,nov,wed,30,1,0,nonexistent,-0.1,93.2,-42,4.12,5195.8
47,services,single,basic.9y,no,no,no,cellular,nov,tue,187,2,0,nonexistent,-0.1,93.2,-42,4.153,5195.8
35,blue-collar,married,basic.6y,no,yes,no,cellular,apr,fri,113,1,1,failure,-1.8,93.075,-47.1,1.405,5099.1
58,blue-collar,married,basic.9y,no,no,no,cellular,nov,tue,64,1,1,failure,-0.1,93.2,-42,4.153,5195.8
50,blue-collar,divorced,high.school,no,yes,yes,cellular,jul,mon,629,2,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
41,technician,married,professional.course,no,no,no,telephone,may,tue,92,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191
38,technician,married,university.degree,no,yes,no,cellular,may,wed,147,1,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1
32,student,single,university.degree,no,no,no,cellular,nov,thu,151,2,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
