"job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","nr.employed","age_group","prediction"
"blue-collar","married","basic.9y","no","yes","no","cellular","may","fri",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","single","high.school","no","no","no","telephone","may","fri",4,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"services","married","high.school","no","yes","no","telephone","jun","wed",1,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"admin.","married","university.degree","no","yes","no","cellular","nov","mon",1,0,"nonexistent",-0.1,93.2,-42,5195.8,"Adults",1
"services","single","university.degree","no","no","no","cellular","sep","thu",3,2,"failure",-1.1,94.199,-37.5,4963.6,"Young Adults",1
"admin.","single","university.degree","no","yes","no","cellular","sep","mon",4,0,"nonexistent",-1.1,94.199,-37.5,4963.6,"Young Adults",1
"services","divorced","professional.course","no","no","no","cellular","nov","tue",1,1,"failure",-0.1,93.2,-42,5195.8,"Young Adults",1
"self-employed","single","basic.4y","no","no","no","cellular","jul","thu",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"admin.","married","high.school","no","no","no","telephone","may","wed",2,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"blue-collar","married","basic.4y","no","yes","no","telephone","jun","thu",2,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Adults",1
"admin.","single","high.school","no","no","no","cellular","may","fri",2,0,"nonexistent",-1.8,92.893,-46.2,5099.1,"Young Adults",1
"services","single","university.degree","no","no","no","cellular","jul","wed",2,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Young Adults",1
"admin.","divorced","university.degree","no","no","no","cellular","jul","wed",6,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"admin.","divorced","university.degree","no","yes","no","telephone","jul","mon",4,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"blue-collar","married","basic.4y","no","no","yes","cellular","jul","tue",1,0,"nonexistent",1.4,93.918,-42.7,5228.1,"Adults",1
"technician","divorced","high.school","no","no","no","cellular","mar","mon",1,2,"success",-1.8,93.369,-34.8,5008.7,"Adults",2
"technician","single","university.degree","no","yes","yes","cellular","aug","wed",3,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"management","married","high.school","no","no","yes","cellular","aug","wed",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"technician","married","professional.course","no","yes","no","cellular","aug","mon",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"technician","divorced","professional.course","no","no","no","telephone","may","wed",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
"admin.","married","university.degree","no","no","no","cellular","aug","tue",1,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Young Adults",1
"technician","married","university.degree","no","yes","yes","cellular","mar","tue",1,1,"failure",-1.8,92.843,-50,5099.1,"Adults",2
"technician","single","university.degree","no","no","no","cellular","jun","fri",2,0,"nonexistent",-2.9,92.963,-40.8,5076.2,"Adults",1
"technician","married","university.degree","no","no","no","cellular","aug","thu",7,0,"nonexistent",1.4,93.444,-36.1,5228.1,"Adults",1
"blue-collar","single","basic.9y","no","yes","no","telephone","jun","wed",1,0,"nonexistent",1.4,94.465,-41.8,5228.1,"Young Adults",1
"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",1,0,"nonexistent",1.1,93.994,-36.4,5191,"Adults",1
